Train_labeled_loss Train_unlabeled_loss Test_loss Train_labeled_accuracy Train_unlabeled_accuracy Test_accuracy New_label_correct New_label_total 
0.0009932453636778056 0.6349756015179694 0.6567667097510286 1.0 0.868611111111111 0.86236 1338.3 1350.0 
0.0009739643409624836 0.6360984862332589 0.6521905079355326 1.0 0.867685185185185 0.86256 990.9 1013.0 
0.001096295903315512 0.6812170343168569 0.7036548517645607 1.0 0.8691111111111111 0.8625299999999999 722.7 760.0 
0.0010278963507763825 0.6937736311034559 0.7118046972000438 1.0 0.8721296296296297 0.8665199999999998 525.3 570.0 
0.0009317292204914538 0.7385330810716488 0.7415813911379505 1.0 0.8740925925925925 0.8693000000000002 374.4 427.0 
0.0008124361065724416 0.769832404031526 0.7533862599196706 1.0 0.880425925925926 0.8740300000000001 241.6 294.2 
0.0006485349504815768 0.853457953242452 0.8117094035895672 1.0 0.8817962962962962 0.87659 131.6 165.4 
0.0005460265248495989 0.9066979444755005 0.8428357594238219 1.0 0.8862222222222222 0.87974 78.8 103.7 
0.0005164552982031803 0.9573203864949175 0.8697103031508477 1.0 0.8872222222222221 0.88229 50.0 71.1 
0.0005074865911948619 0.9910995338309345 0.8831947662037998 1.0 0.8884074074074073 0.8828000000000001 35.0 49.3 
0.0004922611856080321 1.0160805002853013 0.8870583775607518 1.0 0.889888888888889 0.8832800000000001 29.4 41.7 
0.0004510196714352903 1.0461559033907597 0.9086672698159537 1.0 0.8897962962962964 0.88318 22.3 35.0 
0.0005103766330261128 1.0284479026204003 0.8873608989749726 1.0 0.8906666666666666 0.88433 21.0 28.9 
0.000465018054952339 1.0504229321736753 0.9012014133481632 1.0 0.8902777777777777 0.8845000000000001 14.6 23.1 
0.000476980589025453 1.0630013423499487 0.9014006636224353 1.0 0.8907407407407408 0.88451 12.1 17.6 
0.0004654656490921128 1.0740718676017162 0.9103868689776922 1.0 0.8905740740740742 0.88445 11.8 17.3 
0.0004608416956735856 1.0851709804941951 0.916954534584191 1.0 0.8911296296296296 0.88459 10.8 16.1 
0.00042847068417089265 1.0931524118949125 0.9217102645740167 1.0 0.8904814814814814 0.8851600000000002 7.3 12.8 
0.00044573565070057535 1.0939444822456035 0.9147733388317374 1.0 0.891462962962963 0.8844800000000002 6.9 10.2 
0.0004379392533698682 1.1091006329889124 0.9266345974192058 1.0 0.8912592592592592 0.88476 7.1 11.7 
