Train_labeled_loss Train_unlabeled_loss Test_loss Train_labeled_accuracy Train_unlabeled_accuracy Test_accuracy New_label_correct New_label_total 
0.0009464972948662283 0.6493090578514868 0.6671401426621153 1.0 0.8676296296296296 0.86235 1338.2 1350.0 
0.0009716346139238424 0.6553146522483393 0.6756770937691606 1.0 0.8670555555555556 0.8609600000000001 989.4 1013.0 
0.0010581757535229768 0.6894911174202243 0.7095320321491887 1.0 0.869574074074074 0.86316 724.3 760.0 
0.001052656132860467 0.7094856006352878 0.7258063493403999 1.0 0.8694629629629631 0.8653299999999999 527.0 570.0 
0.0008745821445397169 0.7394544750033389 0.7369618609659853 1.0 0.8754814814814816 0.86951 377.5 427.0 
0.0007720154680616223 0.7935183033167889 0.7810788064754138 1.0 0.8784444444444445 0.8713900000000001 249.3 300.9 
0.0006169460124271414 0.8453182603803568 0.813687561156106 1.0 0.8834629629629628 0.87666 131.4 165.0 
0.0005713506340969853 0.9054658482292467 0.8488075766970699 1.0 0.8865370370370369 0.8804700000000001 73.1 95.6 
0.0005146088140618948 0.9365889896731444 0.8602443134932086 1.0 0.8887962962962963 0.88279 52.6 73.4 
0.000500228788130742 0.9666675120294015 0.8672715097145716 1.0 0.8900185185185187 0.8840999999999998 35.3 49.5 
0.0004800913082543816 1.0050609406160402 0.8921314322160331 1.0 0.8909999999999998 0.8840199999999999 27.2 42.6 
0.0004997414133364538 1.0056573889590015 0.8889229673377743 1.0 0.8913703703703704 0.8841500000000002 24.1 36.2 
0.00047620494949223937 1.0165173436614485 0.8893838797888598 1.0 0.8924814814814814 0.8847099999999999 20.7 32.0 
0.00043496363410748556 1.0445391225662264 0.906797476519874 1.0 0.8924259259259258 0.88561 12.9 21.2 
0.00047534888532357774 1.0547091640678057 0.9081794666889127 1.0 0.8918333333333333 0.88623 10.7 16.9 
0.00046930494057127536 1.0568823793855397 0.9077545546955861 1.0 0.8925000000000001 0.8851699999999999 11.6 16.8 
0.00042001398547465983 1.0763057032154777 0.9177775531053814 1.0 0.8932222222222223 0.88544 11.0 15.2 
0.0004623146623218068 1.0682659248491426 0.9150049072098472 1.0 0.8931851851851851 0.8854900000000001 4.9 9.4 
0.00044797499941731883 1.080784672039284 0.9177989310168346 1.0 0.8932592592592592 0.8857900000000001 7.1 11.4 
0.001448011487154784 1.0821220051591849 0.918311799255916 0.9998333333333334 0.8925740740740741 0.8844799999999999 8.6 14.2 
