Train_labeled_loss Train_unlabeled_loss Test_loss Train_labeled_accuracy Train_unlabeled_accuracy Test_accuracy New_label_correct New_label_total 
0.001001339850542302 0.6949028359424332 0.664220555960909 1.0 0.8582946127946128 0.8614200000000001 5034.0 5075.7 
0.001029754508616163 0.6918217204721937 0.662039335492285 1.0 0.8590622895622897 0.8623 852.7 2358.1 
0.0006840400286309955 0.7306017705947824 0.708763817986122 1.0 0.8567255892255892 0.8584400000000001 299.0 822.7 
0.005950336347242362 1.6020114093876008 1.5136128199310481 0.9978333333333333 0.8085016835016836 0.81182 211.1 444.3 
0.009147303802171321 1.786996090056423 1.6979523362656774 0.9968333333333333 0.7949814814814814 0.7981100000000001 669.1 2304.2 
0.018723610448750424 2.1436965676478064 2.080782396946133 0.9931666666666666 0.783808080808081 0.78641 168.1 1201.5 
0.020313389339557786 3.246155357603354 3.0634754574897523 0.993 0.7297104377104378 0.7350900000000001 393.1 1460.8 
0.023497536240088344 3.4171856330217594 3.217113168973063 0.9921666666666666 0.7145622895622895 0.7197999999999999 94.0 750.9 
0.01461102122528952 4.2306752327399515 4.003703353607781 0.9951666666666668 0.6798316498316499 0.6863900000000001 41.4 271.3 
0.052290178283608345 4.494149830223668 4.268142804720794 0.9848333333333332 0.6592239057239058 0.66559 68.7 196.7 
0.03403711450297076 5.519644742724938 5.227687118184097 0.9881666666666667 0.6557087542087542 0.6621400000000001 52.9 217.2 
0.02720622030100333 4.438667986652848 4.263149169456265 0.9901666666666668 0.6564882154882155 0.66245 112.3 1197.7 
0.0075072723485481605 4.963023423180327 4.715955458957566 0.9971666666666668 0.6592390572390573 0.66453 102.4 523.2 
0.02179370601353469 5.173843832305264 4.94187045776027 0.9923333333333332 0.628543771043771 0.63541 50.0 275.5 
0.013494353177843385 5.5627371417152816 5.299414265416576 0.9951666666666666 0.617993265993266 0.62589 45.5 197.5 
0.03154598286278096 5.654566838587734 5.393225215197985 0.9890000000000001 0.616590909090909 0.62343 94.5 126.8 
0.04957578066082806 5.604809183815378 5.361924246514325 0.9818333333333333 0.6044276094276094 0.6108 41.9 99.1 
0.08339226423249675 5.912229574498708 5.67714962169072 0.9726666666666667 0.6055488215488216 0.6124400000000001 30.0 59.0 
0.040333248406639724 5.745197131842419 5.491314898153865 0.991 0.6100454545454546 0.61653 15.8 75.1 
0.03688404165297832 6.293509776569268 6.031105833173526 0.9865 0.6000858585858586 0.6049299999999999 266.7 1075.2 
